phase,canvas,frames,layers,refills,exit,elapsed_s,doc_bytes,doc_unique_bytes,tile_table_bytes,history_bytes,history_table_bytes,mask_bytes,total_bytes,undo_records,file_bytes,build_ms,save_ms,write_ms,load_ms,os_resident,os_peak
gen,256,1,1,0,0,0.2,262144,262144,4608,0,0,0,266752,0,262557,4.4,20.7,0.7,,4952064,5505024
load,256,1,1,0,0,0.1,262144,262144,4608,0,0,0,266752,0,262557,,,,6.1,4333568,4456448
gen,256,1,4,0,0,0.2,1048576,1048576,18432,0,0,0,1067008,0,1049800,17.8,40.4,0.9,,7106560,10543104
load,256,1,4,0,0,0.1,1048576,1048576,18432,0,0,0,1067008,0,1049800,,,,20.8,5222400,6160384
gen,256,1,16,0,0,0.3,4194304,4194304,73728,0,0,0,4268032,0,4199027,52.8,89.2,3.1,,10846208,29941760
load,256,1,16,0,0,0.2,4194304,4194304,73728,0,0,0,4268032,0,4199027,,,,57.5,8994816,12845056
gen,256,1,64,0,0,0.5,16777216,16777216,294912,0,0,0,17072128,0,16795955,118.3,196.6,11.6,,25317376,107692032
load,256,1,64,0,0,0.3,16777216,16777216,294912,0,0,0,17072128,0,16795955,,,,124.3,23621632,39976960
gen,256,4,4,0,0,0.2,4194304,4194304,73728,0,0,0,4268032,0,4199056,40.8,81.7,3.7,,10747904,29814784
load,256,4,4,0,0,0.1,4194304,4194304,73728,0,0,0,4268032,0,4199056,,,,50.2,9011200,12976128
gen,256,16,4,0,0,0.4,16777216,16777216,294912,0,0,0,17072128,0,16796080,104.5,184.1,13.4,,25452544,107847680
load,256,16,4,0,0,0.2,16777216,16777216,294912,0,0,0,17072128,0,16796080,,,,114.9,23568384,40108032
gen,256,16,16,0,0,1.2,67108864,67108864,1179648,0,0,0,68288512,0,67183714,258.6,711.2,49.8,,83288064,418754560
load,256,16,16,0,0,0.5,67108864,67108864,1179648,0,0,0,68288512,0,67183714,,,,261.9,81215488,148242432
gen,256,64,4,0,0,1.2,67108864,67108864,1179648,0,0,0,68288512,0,67184178,259.5,713.2,47.9,,83144704,418881536
load,256,64,4,0,0,0.5,67108864,67108864,1179648,0,0,0,68288512,0,67184178,,,,263.5,81231872,148242432
gen,256,64,16,0,0,4.3,268435456,268435456,4718592,0,0,0,273154048,0,268783858,773.5,3168.9,189.9,,337395712,1958707200
load,256,64,16,0,0,1.3,268435456,268435456,4718592,0,0,0,273154048,0,268783858,,,,931.7,333340672,602132480
gen,256,256,1,0,0,1.2,67108864,67108864,1179648,0,0,0,68288512,0,67186483,261.0,703.2,47.5,,83128320,418635776
load,256,256,1,0,0,0.5,67108864,67108864,1179648,0,0,0,68288512,0,67186483,,,,266.6,81022976,147980288
gen,256,256,4,0,0,4.4,268435456,268435456,4718592,0,0,0,273154048,0,268785715,765.9,3201.6,192.1,,336924672,1958342656
load,256,256,4,0,0,1.3,268435456,268435456,4718592,0,0,0,273154048,0,268785715,,,,925.3,333279232,602275840
gen,256,256,16,0,134,5.6,,,,,,,,,,,,,,,
gen,256,1024,1,0,0,4.3,268435456,268435456,4718592,0,0,0,273154048,0,268794931,778.8,3113.8,193.5,,338751488,1958113280
load,256,1024,1,0,0,1.4,268435456,268435456,4718592,0,0,0,273154048,0,268794931,,,,1006.6,333328384,602406912
gen,256,1024,4,0,134,5.9,,,,,,,,,,,,,,,
gen,64,256,4,0,0,0.5,16777216,16777216,294912,0,0,0,17072128,0,16818225,134.7,188.8,12.4,,25210880,107565056
load,64,256,4,0,0,0.3,16777216,16777216,294912,0,0,0,17072128,0,16818225,,,,152.8,23396352,39583744
gen,64,1024,4,0,0,1.2,67108864,67108864,1179648,0,0,0,68288512,0,67272755,264.1,716.8,48.2,,83767296,419270656
load,64,1024,4,0,0,0.5,67108864,67108864,1179648,0,0,0,68288512,0,67272755,,,,266.5,81612800,148766720
edit,256,16,1,0,0,0.2,4194304,4194304,73728,0,1175040,0,5443072,31,,,,,,10047488,10047488
edit,256,64,1,0,0,0.3,16777216,16777216,294912,0,18869760,0,35941888,127,,,,,,43098112,43098112
edit,256,128,1,0,0,0.3,33554432,33554432,589824,0,75492864,0,109637120,255,,,,,,121413632,121503744
edit,256,256,1,0,0,0.7,67108864,67108864,1179648,0,301985280,0,370273792,511,,,,,,456491008,456785920
edit,256,512,1,0,134,4.3,,,,,,,,,,,,,,,
edit,256,16,16,0,0,0.5,67108864,67108864,1179648,0,36564480,0,104852992,511,,,,,,119304192,119406592
edit,256,64,4,0,0,0.4,67108864,67108864,1179648,0,79031808,0,147320320,511,,,,,,163131392,163446784
edit,256,64,8,0,0,0.7,134217728,134217728,2359296,0,167505408,0,304082432,1023,,,,,,360316928,361082880
edit,256,128,4,0,0,0.9,134217728,134217728,2359296,0,309063168,0,445640192,1023,,,,,,591450112,592052224
edit,256,256,4,0,134,4.5,,,,,,,,,,,,,,,
churn,256,1,1,16,0,0.1,262144,262144,4608,3932160,0,0,4198912,16,,,,,,8630272,8630272
churn,256,1,1,64,0,0.2,262144,262144,4608,16515072,0,0,16781824,64,,,,,,23035904,23035904
churn,256,1,1,128,0,0.3,262144,262144,4608,33292288,0,0,33559040,128,,,,,,42106880,42106880
churn,256,1,1,160,0,0.3,262144,262144,4608,33554432,0,0,33821184,128,,,,,,42688512,42729472
