rung,outcome,progress_frames,thumbs,save_bytes,save_ms,doc_bytes,total_bytes,history_bytes,history_table_bytes,vmrss,vmhwm,ms
edit:64:4+clear+thumbs,survived,,64,,,67108864,68288512,0,0,281473024,281473024,625
edit:256:1,survived,,,,,67108864,370273792,0,301985280,656068608,656068608,550
edit:256:4+clear+thumbs,survived,,256,,,268435456,273154048,0,0,533520384,655077376,5062
edit:512:1,killed,448,,,,,,,,,,
edit:1024:1+clear+thumbs,survived,,1024,,,268435456,273154048,0,0,532590592,546234368,9229
edit:256:4+clear+save,survived,,,268785715,3344,268435456,273154048,0,0,804368384,2106998784,5157
edit:1024:4+clear+thumbs,killed,960,,,,,,,,,,
edit:1024:4+clear+save,killed,960,,,,,,,,,,
edit:1024:8+clear,killed,448,,,,,,,,,,
edit:1024:16+clear,killed,192,,,,,,,,,,
edit:1024:32+clear,killed,64,,,,,,,,,,
