phase,canvas,frames,layers,refills,exit,elapsed_s,doc_bytes,doc_unique_bytes,tile_table_bytes,history_bytes,history_table_bytes,mask_bytes,total_bytes,undo_records,file_bytes,build_ms,save_ms,write_ms,load_ms,os_resident,os_peak
gen,256,1,1,0,0,0.2,262144,262144,4608,0,0,0,266752,0,262557,2.0,6.1,1.2,,5091328,6295552
load,256,1,1,0,0,0.0,262144,262144,4608,0,0,0,266752,0,262557,,,,2.2,4890624,4890624
gen,256,1,4,0,0,0.1,1048576,1048576,18432,0,0,0,1067008,0,1049800,6.4,25.4,2.2,,6152192,10878976
load,256,1,4,0,0,0.0,1048576,1048576,18432,0,0,0,1067008,0,1049800,,,,9.8,5423104,6414336
gen,256,1,16,0,0,0.2,4194304,4194304,73728,0,0,0,4268032,0,4199027,25.0,94.1,4.0,,10006528,31305728
load,256,1,16,0,0,0.1,4194304,4194304,73728,0,0,0,4268032,0,4199027,,,,32.9,8962048,13086720
gen,256,1,64,0,0,0.5,16777216,16777216,294912,0,0,0,17072128,0,16795955,97.5,364.3,19.6,,24231936,108904448
load,256,1,64,0,0,0.2,16777216,16777216,294912,0,0,0,17072128,0,16795955,,,,139.4,23072768,39694336
gen,256,4,4,0,0,0.1,4194304,4194304,73728,0,0,0,4268032,0,4199056,23.8,96.4,3.8,,10035200,31350784
load,256,4,4,0,0,0.1,4194304,4194304,73728,0,0,0,4268032,0,4199056,,,,32.6,8978432,13103104
gen,256,16,4,0,0,0.5,16777216,16777216,294912,0,0,0,17072128,0,16796080,100.4,364.1,19.1,,24223744,108879872
load,256,16,4,0,0,0.2,16777216,16777216,294912,0,0,0,17072128,0,16796080,,,,135.3,23076864,39698432
gen,256,16,16,0,0,2.0,67108864,67108864,1179648,0,0,0,68288512,0,67183714,395.5,1461.9,127.3,,81141760,419454976
load,256,16,16,0,0,0.6,67108864,67108864,1179648,0,0,0,68288512,0,67183714,,,,547.2,79294464,145842176
gen,256,64,4,0,0,2.0,67108864,67108864,1179648,0,0,0,68288512,0,67184178,392.8,1482.6,113.6,,81334272,419033088
load,256,64,4,0,0,0.7,67108864,67108864,1179648,0,0,0,68288512,0,67184178,,,,564.0,79310848,145866752
gen,256,64,16,0,0,8.2,268435456,268435456,4718592,0,0,0,273154048,0,268783858,1592.4,6119.7,394.6,,307888128,1659322368
load,256,64,16,0,0,2.5,268435456,268435456,4718592,0,0,0,273154048,0,268783858,,,,2143.7,301752320,569614336
gen,256,256,1,0,0,2.0,67108864,67108864,1179648,0,0,0,68288512,0,67186483,397.5,1480.4,118.6,,81334272,419221504
load,256,256,1,0,0,0.6,67108864,67108864,1179648,0,0,0,68288512,0,67186483,,,,531.8,79314944,145862656
gen,256,256,4,0,0,8.2,268435456,268435456,4718592,0,0,0,273154048,0,268785715,1610.3,6091.0,392.4,,307662848,1659281408
load,256,256,4,0,0,2.5,268435456,268435456,4718592,0,0,0,273154048,0,268785715,,,,2162.6,301760512,569626624
gen,256,256,16,0,0,32.5,1073741824,1073741824,18874368,0,0,0,1092616192,0,1075184435,6436.5,23874.3,1712.5,,1214107648,6619455488
load,256,256,16,0,0,9.9,1073741824,1073741824,18874368,0,0,0,1092616192,0,1075184435,,,,8729.0,1189265408,2265346048
gen,256,1024,1,0,0,8.5,268435456,268435456,4718592,0,0,0,273154048,0,268794931,1629.7,6336.2,430.4,,307535872,1659633664
load,256,1024,1,0,0,2.4,268435456,268435456,4718592,0,0,0,273154048,0,268794931,,,,2121.8,301764608,569630720
gen,256,1024,4,0,0,32.4,1073741824,1073741824,18874368,0,0,0,1092616192,0,1075191859,6343.1,23814.6,1764.4,,1214107648,6619545600
load,256,1024,4,0,0,9.7,1073741824,1073741824,18874368,0,0,0,1092616192,0,1075191859,,,,8562.6,1189298176,2265387008
gen,64,256,4,0,0,0.6,16777216,16777216,294912,0,0,0,17072128,0,16818225,97.3,453.3,22.0,,24313856,108986368
load,64,256,4,0,0,0.2,16777216,16777216,294912,0,0,0,17072128,0,16818225,,,,155.7,23191552,39817216
gen,64,1024,4,0,0,2.0,67108864,67108864,1179648,0,0,0,68288512,0,67272755,397.6,1492.7,88.7,,82132992,419667968
load,64,1024,4,0,0,0.6,67108864,67108864,1179648,0,0,0,68288512,0,67272755,,,,535.5,79556608,146206720
edit,256,16,1,0,0,0.1,4194304,4194304,73728,0,1175040,0,5443072,31,,,,,,10407936,10407936
edit,256,64,1,0,0,0.2,16777216,16777216,294912,0,18869760,0,35941888,127,,,,,,42708992,42708992
edit,256,128,1,0,0,0.4,33554432,33554432,589824,0,75492864,0,109637120,255,,,,,,120848384,120848384
edit,256,256,1,0,0,1.0,67108864,67108864,1179648,0,301985280,0,370273792,511,,,,,,394563584,394563584
edit,256,512,1,0,0,3.6,134217728,134217728,2359296,0,1207954944,0,1344531968,1023,,,,,,1414766592,1414766592
edit,256,16,16,0,0,0.5,67108864,67108864,1179648,0,36564480,0,104852992,511,,,,,,117354496,117354496
edit,256,64,4,0,0,0.6,67108864,67108864,1179648,0,79031808,0,147320320,511,,,,,,161460224,161460224
edit,256,64,8,0,0,1.2,134217728,134217728,2359296,0,167505408,0,304082432,1023,,,,,,327925760,327925760
edit,256,128,4,0,0,1.5,134217728,134217728,2359296,0,309063168,0,445640192,1023,,,,,,474779648,474779648
edit,256,256,4,0,0,4.4,268435456,268435456,4718592,0,1222110720,0,1495264768,2047,,,,,,1569964032,1571135488
churn,256,1,1,16,0,0.1,262144,262144,4608,3932160,0,0,4198912,16,,,,,,8978432,8978432
churn,256,1,1,64,0,0.1,262144,262144,4608,16515072,0,0,16781824,64,,,,,,22728704,22728704
churn,256,1,1,128,0,0.2,262144,262144,4608,33292288,0,0,33559040,128,,,,,,41394176,41394176
churn,256,1,1,160,0,0.3,262144,262144,4608,33554432,0,0,33821184,128,,,,,,42389504,42389504
